Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
1007.33002	1007.3241	.0059	CoA 15:0;O	C36H64N7O18P3S	Neutral	/resources/tools/chemdb_ontology?abbrev=CoA 15:0;O
215.86837	215.8665	.0019	WD 42:0	C42H82O4	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=WD 42:0
425.1298	425.1276	.0022	ST 19:4;O3;S	C19H24O6S	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:4;O3;S
425.1298	425.1276	.0022	ST 18:4;O3;S	C18H22O6S	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 18:4;O3;S
504.31758	504.3096	.0080	LPC 17:2	C25H48NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPC 17:2
504.31758	504.3096	.0080	LPE 20:2	C25H48NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPE 20:2
205.83965	205.8387	.0009	DG 36:2	C39H72O5	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=DG 36:2
405.1513	405.1508	.0005	ST 19:1;O2;S	C19H30O5S	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 19:1;O2;S
400.13522	400.1378	.0026	PC 4:0	C12H24NO8P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PC 4:0
185.01238	185.0092	.0032	FA 7:4;O4	C7H6O6	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 7:4;O4
185.01238	185.0222	.0099	FA 5:0;O3	C5H10O5	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 5:0;O3
387.36638	387.3632	.0031	ST 27:0;O	C27H48O	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 27:0;O
383.11912	383.1267	.0076	ST 19:4;O6	C19H24O6	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 19:4;O6
316.92076	316.9198	.0010	PC 48:2	C56H108NO8P	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=PC 48:2
486.87564	486.8720	.0036	Hex2Cer 42:0;O2	C54H105NO13	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=Hex2Cer 42:0;O2
87.00331	87.0088	.0055	FA 3:1;O	C3H4O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 3:1;O
146.99309	146.9935	.0004	FA 4:2;O4	C4H4O6	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 4:2;O4
217.0483	217.0506	.0023	FA 11:7	C11H8O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 11:7
217.0483	217.0506	.0023	SFE 11:7	C11H8O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:7
217.0483	217.0506	.0023	FA 10:7	C10H6O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 10:7
503.21004	503.2182	.0082	LPG 15:1	C21H41O9P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=LPG 15:1
127.00136	127.0037	.0023	FA 5:3;O2	C5H4O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 5:3;O2
199.03398	199.0248	.0092	FA 8:4;O4	C8H8O6	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 8:4;O4
199.03398	199.0379	.0039	FA 6:0;O3	C6H12O5	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 6:0;O3
163.05001	163.0401	.0099	FA 9:5;O	C9H8O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 9:5;O
163.05001	163.0531	.0031	FA 7:1	C7H12O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 7:1
163.05001	163.0531	.0031	SFE 7:1	C7H12O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SFE 7:1
217.02978	217.0354	.0056	FA 6:3;O3	C6H6O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 6:3;O3
215.042	215.0481	.0061	SFE 10:4;O	C10H12O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SFE 10:4;O
215.042	215.0328	.0092	FA 6:0;O4	C6H12O6	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 6:0;O4
203.05596	203.0481	.0079	WE 9:3;O	C9H12O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 9:3;O
203.05596	203.0561	.0002	FA 7:2;O2	C7H10O4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 7:2;O2
203.05596	203.0561	.0002	FA 6:2;O2	C6H8O4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 6:2;O2
203.05596	203.0561	.0002	SFE 6:2;O2	C6H8O4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 6:2;O2
