Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
598.4968	598.4972	.0004	Cer 36:2;O2	C36H69NO3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:2;O2
598.4968	598.5052	.0084	Cer 34:1;O3	C34H67NO4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 34:1;O3
598.4968	598.5052	.0084	CAR 26:0	C33H65NO4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CAR 26:0
461.39987	461.4000	.0002	ST 29:0;O	C29H52O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 29:0;O
461.39987	461.4000	.0002	ST 28:0;O	C28H50O	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 28:0;O
461.39987	461.4000	.0002	TG 57:4	C60H108O6	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=TG 57:4
608.52562	608.5260	.0003	Cer 36:2;O2	C36H69NO3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:2;O2
608.52562	608.5260	.0003	Cer 35:2;O2	C35H67NO3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=Cer 35:2;O2
667.46073	667.4587	.0020	CerPE 32:1;O2	C34H69N2O6P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=CerPE 32:1;O2
667.46073	667.4579	.0028	DG 36:8	C39H60O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=DG 36:8
584.52647	584.5179	.0086	Cer 36:1;O	C36H71NO2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:1;O
584.52647	584.5260	.0005	Cer 34:0;O2	C34H69NO3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 34:0;O2
584.52647	584.5260	.0005	Cer 33:0;O2	C33H67NO3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=Cer 33:0;O2
