Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
173.0334	173.0420	.0086	FA 5:0;O3	C5H10O5Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=FA 5:0;O3
221.03442	221.0292	.0052	FA 7:3;O6	C7H8O8	[M+H]+	/resources/tools/chemdb_ontology?abbrev=FA 7:3;O6
221.03442	221.0396	.0052	FA 7:1;O3	C7H12O5Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=FA 7:1;O3
681.41256	681.4086	.0040	PC 24:3;O3	C32H58NO11P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 24:3;O3
747.45127	747.4443	.0070	PI 29:2	C38H69O13P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PI 29:2
747.45127	747.4595	.0083	PG 36:7	C42H69O10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 36:7
703.42504	703.4181	.0070	PG 30:3;O2	C36H65O12P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 30:3;O2
703.42504	703.4309	.0059	PA 35:5	C38H65O8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PA 35:5
703.42504	703.4285	.0035	PA 33:2	C36H67O8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PA 33:2
725.43892	725.4364	.0025	PG 31:3	C37H67O10PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PG 31:3
725.43892	725.4348	.0041	PS 28:2;O2	C34H62NO12P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PS 28:2;O2
725.43892	725.4340	.0049	PG 29:0	C35H69O10PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PG 29:0
606.36884	606.3765	.0077	PC 22:2;O	C30H56NO9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 22:2;O
606.36884	606.3765	.0077	PE 25:1;O2	C30H58NO10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PE 25:1;O2
606.36884	606.3765	.0077	PS 24:0	C30H58NO10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS 24:0
606.36884	606.3741	.0053	LPS O-22:0;O	C28H58NO9PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=LPS O-22:0;O
297.15853	297.1672	.0087	FA 14:1;O3	C14H26O5Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=FA 14:1;O3
297.15853	297.1579	.0006	PA 25:3;O3	C28H49O11P	[M+2H]2+	/resources/tools/chemdb_ontology?abbrev=PA 25:3;O3
134.1171	134.1175	.0004	FA 6:0	C6H12O2	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=FA 6:0
