Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
852.64215	852.6477	.0055	PC 41:4	C49H90NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 41:4
852.64215	852.6477	.0055	PE 44:4	C49H90NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 44:4
852.64215	852.6453	.0031	PC 39:1	C47H92NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 39:1
852.64215	852.6453	.0031	PE 42:1	C47H92NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 42:1
851.63889	851.6484	.0095	PS 39:0	C45H88NO10P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PS 39:0
851.63889	851.6476	.0087	PG dO-40:0	C46H95O8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PG dO-40:0
837.67135	837.6691	.0022	PS O-39:0	C45H90NO9P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PS O-39:0
793.66211	793.6582	.0039	SM 42:3;O2	C47H91N2O6P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=SM 42:3;O2
793.66211	793.6704	.0083	TG 49:5	C52H90O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 49:5
816.69222	816.6841	.0082	PC O-39:1	C47H94NO7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC O-39:1
816.69222	816.6841	.0082	PE O-42:1	C47H94NO7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE O-42:1
816.69222	816.6953	.0031	SM 41:2;O2	C46H91N2O6P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=SM 41:2;O2
814.6867	814.6919	.0052	TG 48:5	C51H88O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 48:5
840.70219	840.6923	.0099	HexCer 43:2;O3	C49H93NO9	[M+H]+	/resources/tools/chemdb_ontology?abbrev=HexCer 43:2;O3
840.70219	840.6923	.0099	HexCer 43:1;O4	C49H95NO10	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=HexCer 43:1;O4
840.70219	840.7076	.0054	TG 50:6	C53H90O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 50:6
839.69779	839.6976	.0001	SM 42:0;O2	C47H97N2O6PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=SM 42:0;O2
813.73861	813.7330	.0056	TG 50:2	C53H98O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 50:2
913.72337	913.7280	.0046	TG 57:10	C60H96O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 57:10
913.72337	913.7256	.0022	TG 55:7	C58H98O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 55:7
913.72337	913.7232	.0002	TG 53:4	C56H100O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 53:4
836.66833	836.6739	.0056	PG O-40:1	C46H91O9P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PG O-40:1
836.66833	836.6763	.0079	TG 50:8	C53H86O6	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 50:8
870.70008	870.6946	.0055	PC 42:2	C50H96NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 42:2
637.63412	637.6242	.0100	Cer 40:2;O2	C40H77NO3	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=Cer 40:2;O2
945.7842	945.7906	.0064	TG 59:8	C62H104O6	[M+H]+	/resources/tools/chemdb_ontology?abbrev=TG 59:8
945.7842	945.7882	.0040	TG 57:5	C60H106O6Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=TG 57:5
945.7842	945.7858	.0016	TG 55:2	C58H108O6Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=TG 55:2
740.63668	740.6399	.0032	HexCer 38:0;O2	C44H87NO8	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=HexCer 38:0;O2
740.63668	740.6316	.0050	CerP 44:1;O2	C44H88NO6P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=CerP 44:1;O2
741.64036	741.6391	.0012	TG 45:3	C48H86O6	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=TG 45:3
741.64036	741.6367	.0036	DG 43:2	C46H86O5Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=DG 43:2
745.59354	745.5854	.0081	CerPE 39:2;O3	C41H81N2O7P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=CerPE 39:2;O3
